word	frequency
en	3546
de	2757
het	1464
van	1434
in	1006
hij	938
een	816
den	792
die	778
gawein	742
te	730
zij	686
met	672
ik	635
niet	634
dat	629
was	601
zijn	581
op	561
maar	488
zoo	481
als	457
zich	429
aan	421
koning	418
ysabele	365
is	354
gij	353
om	352
hem	341
of	325
voor	308
gwinebant	303
had	291
uit	290
mijn	278
mij	272
haar	271
toen	258
door	255
tot	252
lancelot	248
u	242
er	240
ook	225
wel	225
over	213
naar	204
scaec	203
ridders	199
dan	197
der	189
meer	178
the	175
nu	174
zeide	171
merlijn	168
ridder	168
waren	163
wij	158
bij	157
zijne	153
wat	146
weg	142
o	140
riep	139
alle	138
daar	135
want	133
waar	132
nog	132
burcht	130
tusschen	126
zal	122
zoû	120
hare	116
allen	114
al	113
dien	112
mijne	109
zag	108
geen	107
ter	104
des	102
toe	102
zoete	102
na	100
tegen	99
amadijs	98
camelot	94
terwijl	93
ridderen	92
guenever	91
doen	90
project	87
assentijn	87
artur	86
deze	83
hun	82
nacht	81
to	80
wonder	79
hunne	79
baroenen	79
alleen	78
tien	78
or	78
wie	78
omdat	78
onder	77
hen	77
mede	76
groote	75
jaren	75
binnen	73
hoe	73
hadden	71
heb	71
reeds	71
ben	70
ons	70
oogen	70
twee	70
koninginne	70
and	70
you	69
hier	67
toch	67
galehot	67
zwevende	67
boven	67
aventuur	66
gaan	66
zagen	64
uw	63
terug	63
hebben	63
keye	62
mordret	62
andere	61
lag	61
eene	60
dit	60
weêr	59
vele	59
af	59
zoude	59
weet	58
zelfs	58
a	57
didoneel	57
sagremort	57
achter	56
beiden	56
gutenbergtm	56
heer	55
vol	55
aventure	55
schoone	55
hoofd	54
kar	54
clarioen	54
heen	54
tafelronde	54
endi	53
zwaard	53
jonkvrouw	52
worden	52
neêr	51
zelve	51
heel	51
dood	50
harde	49
rondom	49
sint	49
oude	49
dag	48
zeer	48
paard	48
wist	47
queste	47
langs	47
uwe	47
lief	47
steeds	47
zijde	47
this	47
with	47
ende	46
stond	46
ros	46
scheen	45
vroeg	45
lieve	45
work	45
komen	45
tooverië	45
armen	45
god	44
geweest	44
even	44
riepen	43
bohort	43
vrouwen	43
niets	43
nooit	43
liefde	43
veel	42
kunnen	42
hoog	42
werd	42
gringolette	42
wees	42
lang	42
konings	42
hand	41
zullen	41
heeft	41
lucht	41
alles	41
zie	41
gaweins	40
eens	40
edelvrouwen	40
logres	40
dwerg	40
zonder	40
noordhumberland	40
acglovael	39
morgueine	39
deed	39
ywein	39
anderen	39
zijt	39
meende	39
lange	38
gouden	38
ging	38
destijds	38
michiel	38
witte	37
any	37
beide	37
ten	37
trouwe	37
naast	36
heere	36
handen	36
eerste	35
zacht	35
hoofdstuk	35
alliene	35
minne	35
vlakte	34
lace	34
wellieve	34
wil	33
zien	33
dacht	33
zweven	33
noch	33
speer	33
trouw	33
poorten	33
kan	33
zeker	32
één	32
sedert	32
goede	32
works	32
zwarte	32
kon	32
malkanderen	32
onze	31
water	31
drie	31
ja	31
geheel	31
reden	31
kwam	30
plotseling	30
bleef	30
nieuwe	30
zweefde	30
schaakbord	30
gezellen	29
zingen	29
bijna	29
dezen	29
naderde	29
zouden	29
goed	29
laat	29
goud	29
wiganten	29
vier	29
gelijk	29
gutenberg	29
vader	29
ronde	28
wilde	28
ze	28
hoorde	28
rond	28
koningen	28
hoewel	28
zekerlijk	28
zeg	28
groot	27
booze	27
hestor	27
knape	27
wederom	27
electronic	27
ware	27
oom	27
willen	26
zilveren	26
leven	26
twaalf	26
licht	26
woud	26
immer	26
for	26
moet	26
dadelijk	26
meleagant	26
eindelijk	26
stukken	26
schoon	26
zei	26
roode	26
poort	25
man	25
ziet	25
bedde	25
reed	25
blijde	25
verlossen	25
sloeg	25
recht	25
schild	25
anders	25
kuste	25
hooge	25
slot	25
zeggen	25
werkelijk	24
hemelrijk	24
helm	24
waarom	24
hemel	24
gewes	24
draken	24
droomde	24
verre	23
hoofsch	23
vogel	23
gaat	23
doet	23
wapenen	23
zult	23
bloed	23
vreemd	23
altijd	23
amijs	23
eigenlijk	23
foreest	23
vrouwe	23
antwoordde	23
stem	23
elkaâr	23
princes	23
midden	23
dus	23
voort	23
rivier	23
hebt	23
zware	23
geleden	22
jonkvrouwen	22
buiten	22
arturs	22
tafel	22
wigant	22
herder	22
lionel	22
toren	22
jonkver	22
zijner	22
zoeken	22
glimlachte	22
vond	22
komt	22
her	22
mirakel	22
foundation	22
by	22
stonden	22
paarden	22
staan	21
edele	21
verder	21
ziele	21
vinder	21
bevrijd	21
ontrouwe	21
wen	21
terms	21
jong	21
iedere	21
not	21
voelde	21
brengen	21
wezen	20
eigene	20
legde	20
ouden	20
assentijns	20
s	20
laatste	20
eigen	20
hof	20
nimmer	20
foreesten	20
kind	20
ginds	20
gezel	20
morgen	20
if	20
stil	20
vergier	20
zette	20
droom	20
aller	20
oogenblik	20
eere	20
fenix	20
bleek	20
rossen	19
kwamen	19
muren	19
sterven	19
wien	19
maken	19
zat	19
are	19
kleindochter	19
krank	19
male	19
nam	19
schildknaap	19
be	19
zon	19
neen	19
damoselen	19
vrouw	19
valiante	19
gekomen	19
viel	19
heur	19
breed	18
gingen	18
weinig	18
minder	18
schenen	18
rooden	18
lezer	18
wagen	18
strijd	18
aarde	18
hart	18
kemenade	18
land	18
garsoenen	18
agreement	18
geluk	18
vinden	18
tal	18
plots	18
all	18
zoodat	18
moest	18
moede	18
jonge	18
lagen	17
stierf	17
engelen	17
kwade	17
schandekar	17
bad	17
schoothondjes	17
zitten	17
stille	17
stegen	17
hooren	17
links	17
open	17
do	17
wille	17
zelfde	17
at	17
laten	17
elf	17
dagen	17
zamen	17
merlijns	17
harte	17
mond	17
tijd	17
rijden	17
klonk	17
verleden	16
iets	16
iederen	16
zale	16
borst	16
begreep	16
blauwe	16
knapen	16
donkere	16
heilige	16
wonderbed	16
geworden	16
òp	16
wijde	16
liep	16
ors	16
ligt	16
wacharme	16
waart	16
dingen	16
jongen	16
elkander	16
wilt	16
zes	16
overal	16
oud	16
torens	16
feloenen	16
lachte	16
drijven	16
gedaan	16
eerst	16
gezien	16
nie	16
berg	16
herkende	16
onzen	16
rees	15
ysabeles	15
may	15
nauwelijks	15
omhoog	15
nieuw	15
heeren	15
herhaalde	15
juist	15
moeten	15
from	15
gwinebants	15
seinde	15
jeeste	15
ver	15
gewond	15
konden	15
princesse	15
vijf	15
ridderlijke	15
waarvan	15
gaf	15
droomen	15
dochter	15
that	15
states	15
stak	15
denken	15
gevonden	15
grinnikte	15
grootvader	15
schoot	15
gringolet	15
gevangen	15
donations	15
misschien	15
keeren	15
jolijt	15
ga	15
vogelen	15
it	15
license	15
verlost	15
wereld	15
vragen	15
bladeren	14
genezen	14
wegen	14
other	14
noen	14
valleie	14
roze	14
verslagen	14
niemand	14
begrepen	14
eenmaal	14
vooral	14
amoreusegarde	14
beminnen	14
bracht	14
goeden	14
liever	14
zaal	14
hief	14
mocht	14
omhelsde	14
onzer	14
steeg	14
alleenlijk	14
wonden	14
zoet	14
tevens	14
schaduw	14
stroom	14
los	14
voeren	14
